Port,Latitude,Longitude
Eidsnes,62.4281585,6.315123
Eikefet,60.7028242,5.5489906
Eikefjord,61.5881405,5.4624139
Eikelandsosen,60.2407343,5.7450954
Ekofisk,56.5470118,3.2175015
El Iskandariya (= Alexandria),32.8950155,44.3548923
El Suweis,29.97371,32.52627
Ellingsøy,62.5043176,6.3234482
Elnesvågen,62.8533303,7.1550965
Emden,53.3670541,7.2058304
Engene,58.4013543,8.6922899
Eregli,37.5140718,34.0473423
Erith,51.480819,0.1792322
Esbjerg,55.4664892,8.4520751
Eskifjørdur - Høfn,,
Espenesbogen,69.11727,17.75283
Espevær,59.5917116,5.1486631
Etne,59.7985899,6.294995
Eydehavn - Arendal,58.4998259,8.8644089
Falkeidflæet Ankring,,
Falkenberg,56.904894,12.4912926
Faroe Islands,62.0282362,-6.8819254
Farsund,58.0387373,6.5848274
Faskrudsfjørdur,64.9299691,-14.0084454
Fauske,67.2367153,15.7844221
Fawley,51.5756626,-0.9120499
Fedje,60.7928865,4.4788217
Fensfjorden,60.8310253,5.0430676
Ferrol,43.4846862,-8.233162
Festvåg,67.4356707,14.7706684
Finneid,67.2550214,15.4338362
Finnfjordbotn,69.2353564,18.0926598
Finnsnes,69.2296016,17.9812966
Finnøy,59.2012045,5.8023297
Fishguard,51.9938353,-4.97681
"Fishnish, Isle of Mull",56.44703,-5.77404
Fiskarstrand,62.435491,6.287316
Fiskå - Strand,59.1148216,6.0025029
Fiskåbygd - Vanylven,62.1004924,5.558251
Fitjar,59.9027474,5.2986147
Fjelldal,68.5560252,16.5260596
Fjellstrand,59.7979477,10.6153616
Flatøy,60.5400595,5.2632986
Flekkefjord,58.2949357,6.6129626
Flem,46.83705,9.28458
Flensburg,54.7833021,9.4333264
Florvåg,60.420975,5.2384861
Florø,61.6002583,5.0349596
Flushing,40.7654301,-73.8174291
Flåm,60.8629525,7.1131783
Fodnes,60.9850202,9.1799191
Follafoss,63.986506,11.1104608
Fonnes,60.8040502,4.9809917
Fonnesflaket Ankring,,
Fornes,36.9543333,-3.8555715
Forneselva,69.5771953,19.8823785
Forsand,58.9003299,6.0979566
Fort-de-France,14.6027962,-61.0676724
Forus,58.8918217,5.7341428
Fosnavåg,62.3421061,5.6342433
Foynes,52.6119468,-9.1093796
Fraserburgh,57.6935974,-2.0051497
Fredericia,55.565268,9.7562169
Frederikshavn,57.4412134,10.5336225
Frederiksværk,55.9719082,12.0174311
Fredrikstad,59.1862012,10.8680241
Freifjorden 1 Ankring,,
Frekhaug,60.5181905,5.2403768
Frierfjorden Ankring,,
Frøysjøen,61.777507,5.0461575
Fuglafjørdur,62.2438445,-6.8133219
Fusa,35.737188,139.334682
Förby,58.9917321,23.1584899
Førde,61.4521759,5.8571725
Føresvik - Bokn,59.2310258,5.4395848
Garrucha,37.1853447,-1.8204711
Garston,-45.4671892,168.6842791
Gdansk,54.3706858,18.6129831
Gdynia,54.5164982,18.5402738
Gentbrugge,51.0386296,3.7562885
Ghent,51.0538286,3.7250121
Gibraltar,36.1285933,-5.3474761
Gijon,43.5449422,-5.66275
Gismarvik,59.295925,5.4252698
Gjermundshamn,60.0595092,5.9166868
Gjesvær,71.0983993,25.3762911
Gjøa,,
Gjøsundet,,
Glasgow,55.861155,-4.2501687
Glatved Strand,56.3040521,10.8615819
Glomfjord,66.8122881,13.9493751
Goliat,-20.6542507,13.7648677
Grangemouth,56.0189027,-3.7230303
Granville,48.8376296,-1.5959177
Granvin,60.5240658,6.7194203
Gravdal,68.118191,13.5532976
Great Yarmouth,52.6071742,1.7314845
Greenock,55.9473423,-4.7564721
Greenore,54.0326495,-6.1334035
Greifswald,54.095791,13.3815238
Grenaa,56.4134419,10.8793137
Grimsby,53.5671407,-0.0788045
Grimstad,58.2839967,8.7128291
Grindavik,63.844239,-22.4317498
Grovfjord,68.6763882,17.120942
Grundartangi,64.3601585,-21.7841266
Gruvön,59.3339459,13.1509821
Gryllefjord,69.3626961,17.0550418
Grytøya,68.9340283,16.4915426
Grøtsundet,69.8031461,19.404945
Gudvangen,60.8791085,6.8396298
Gulen,60.9614587,5.1550322
Gulfhavn,55.1994475,11.2570167
Gullfaks,61.2021082,2.198832
Gunhildvågen,61.5855145,5.0112195
Gunness Wharf,53.5875331,-0.730671
Gursken,62.2310353,5.5916976
Gävle,60.6750132,17.1467019
Göteborg,57.7072326,11.9670171
Haakonsvern,60.339225,5.228125
Haddal,62.2820861,5.8688698
Hafnarfjørdur,64.0695354,-21.9575664
Hafrsfjord,58.9239676,5.6534956
Halden,59.0680555,11.537191
Halhjem,60.1486848,5.4298465
Halifax,44.648618,-63.5859487
Halmstad,56.6739826,12.8574827
Hals,47.9270322,15.988639
Halsa,33.2074733,35.5707828
Halsa Meløy,66.7437179,13.5771741
Halsnøy,59.7697074,5.7906771
Hamburg,53.550341,10.000654
Hamina,60.5688901,27.1881877
Hammarvika - Frøya,63.7019843,8.8150752
Hammerfall,67.4080089,15.5322067
Hammerfest,70.6413392,23.8360801
Hammerfest ankring,,
Hammerhavn,55.277895,14.7562281
Hansnes,69.9670442,19.6270874
Hanstholm,57.1150165,8.6144947
Hanøytangen,60.4415802,5.1042208
Haramsøya,62.6563651,6.2089433
Hareid,62.3598311,6.0305106
Hargshamn,60.1677683,18.4849255
Harlingen,26.1907543,-97.6960599
Harstad,68.799943,16.5440322
Hartlepool,54.6857276,-1.2093696
Harwich,51.9445801,1.2898522
Harøysundet,62.8843357,6.9704219
Hasvik,70.6328945,22.115764
Haugesund,59.4682478,5.0827612
Haugsøytangen Ankring,,
Hausvikstrand,58.0411441,6.9850481
Havøysund,70.9963105,24.6609576
Heidrun feltet,,
Hekkelstrand,68.3977308,16.8196993
Helle - Forsand,58.8628,6.14924
Hellesøy,59.0721336,5.4271196
Helligvær,67.4064983,13.9022815
Hellvik,58.4800541,5.8749387
Helsingborg,56.0442098,12.703706
Helsinki (helsingfors),60.1717794,24.9413548
Hemnskjela Ankring,,
Herdla,60.572216,4.9497687
Herfjord,64.0050389,10.0255251
Hermansverk,61.1828937,6.8521849
Herre,44.0071262,-0.024585
Hervikfjorden ankring,,
Herøy ferjekai,65.9682415,12.2874316
Herøya,60.1031064,10.3180849
Herøysundet,59.9234537,5.798846
Hestvika,63.5667052,9.1956069
Hirtshals,57.5908031,9.9649737
Hjelmeland,59.203514,6.4062042
Hjørungavåg,62.3471684,6.0629447
Hobro,56.6371753,9.7939799
"Hofn, Hornafjørdur",64.2532647,-15.2080441
Holla,-24.2258,29.8475
Holla Ankring,,
Holmestrand,59.5591252,10.1531702
Hommelvik,63.4113975,10.795811
Honfleur,49.4197222,0.2338889
Honningsvåg,70.9802638,25.977841
Hopen,76.5790327,25.1553215
Hordvik,60.5181437,5.3129054
Horsens,55.8611696,9.8444774
Horsøy,57.9953618,7.5640564
Horten,59.4101728,10.4437392
Horten Indre Havn,59.4225624,10.4752604
Houston,29.7589382,-95.3676974
Huelva,37.2575874,-6.9484945
Hufthammar,60.119259,5.2061133
Hugla Reden,,
Hull,53.7435722,-0.3394758
Hundested,55.9668501,11.8515494
Husavik - Høfn,,
Husefest,61.6943571,4.9856588
Husnes,59.8609617,5.7563039
Hustadvika,63.011843,7.039051
Husum,54.4853638,9.0538156
Husøy - Karmøy,59.3403428,5.3070642
Husøy - Lenvik,69.5440766,17.6595485
Hvide Sande,56.0057884,8.1288435
Hyen,61.7383298,5.9160212
Hyllestad,61.1683881,5.2496216
Håeimsvika,,
Håvik,59.3199898,5.2893224
Høgset,62.6602761,6.6582743
Høllen,53.4251155,8.707423
Høyanger,61.1254821,5.8141394
Høyevarde ankring,,
Høylandsbygda,59.7832307,5.8044585
Iceland,64.9841821,-18.1059013
Igerøy,65.6829417,12.1257028
Iglandsvik,61.838436,4.943514
Ijmuiden,52.4574236,4.6111981
Ikornnes,62.3847263,6.5554555
Immingham,53.6159963,-0.2136727
Innhavet,67.9633674,15.9307907
Innvik,61.8521038,6.6151452
Invergordon,57.6884029,-4.1692103
Inverness,57.4790124,-4.225739
Ipswich,52.0579324,1.1528095
Isafjørdur - Høfn,66.4250295,-22.4896629
Iskenderun,36.5902266,36.1710354
Jan Mayen,70.9931471,-8.3520659
Jelsa,43.1608097,16.6931431
Jersey - St Helier,49.1856637,-2.1102277
Jondal,38.8655106,1.3222848
Jorf Lasfar,33.1100029,-8.6311468
Jøkelfjord,70.0603392,21.8675854
Jøsenfjorden,59.3298118,6.4504158
Jøssingfjord,58.3176056,6.3443502
Jøssund,63.8445002,9.7892072
Jøvik,69.4585334,18.349938
Kabelvåg,68.2101202,14.4773789
Kaliningrad,54.710128,20.5105838
Kalmar,56.6628826,16.3662382
Kalundborg,55.6833793,11.0993619
Kalvneset,61.600292,5.015865
Kalvåg,61.7667615,4.8789988
Kambo,59.4776453,10.6923218
Kantvik,60.0915512,24.4006734
Karlshamn,56.1701723,14.8631279
Karlskrona,56.1621073,15.5866422
Karlsmedgrunnen Ankring,,
Kaupanger,61.1841967,7.2449657
Kiel,54.3227085,10.135555
Killingøy,59.4221342,5.2469257
Killybegs,54.6362345,-8.4442592
Kilpilahti (sköldvik),60.3050843,25.4841075
Kinsale,51.705737,-8.5229823
Kinsarvik,60.3757875,6.7196524
Kirkenes,69.7271478,30.0448971
Kirkenes Ankring,,
Kirkwall,58.9816049,-2.960369
Kjerringøy,67.5207804,14.7645543
Kjøllefjord,70.9456658,27.3510542
Kjøpmannskjær,59.1731036,10.3830047
Kjøpsvik,68.0973005,16.3786373
Klaipeda,55.7127529,21.1350469
Klaksvik,62.2254921,-6.5837755
Kleppestø,60.4084337,5.2276317
Klosterfjorden,57.211075,12.1808744
Knarrevik,60.3713675,5.1556226
Kobbvågen,66.3981,12.815781
Kokkola (karleby),63.8346943,23.1322585
Kolby Kas Havn,55.7962543,10.5285049
Kolding,55.4894999,9.47905
Kollafjordur,64.1852949,-21.8876582
Kollsnes,60.5542142,4.8320155
Kollsnes Øst,,
Kolobrzeg,54.1759614,15.5764209
Koparnes,62.1708981,5.6400867
Kopervik,59.2835845,5.3066975
Korsør,55.3266045,11.1425876
Kotka,60.4674228,26.9450844
Koverhaara (koverhar),59.8784323,23.215812
Kragerø,58.8696217,9.4142145
Krakhellesundet,,
Krefeld,51.3331205,6.5623343
Krigsborgan,,
Kristiansand,58.0856276,7.931858
Kristiansand Ankring,,
Kristiansund,63.2168194,7.545259
Kristinehamn,59.3113619,14.11176
Kunda,59.5055414,26.5292222
Kvalfjord,64.9036244,11.0522674
Kvaløy,69.7021472,18.8014262
Kvam,64.1400117,11.7392779
Kvernhusvika,63.6372556,8.7999
Kvinesdal,58.5181307,6.953961
Kvithylla,63.560036,9.9079191
Kvitsøy,59.0084193,5.2813125
Kyleakin,57.2720989,-5.7308059
Kårstø,59.279274,5.524468
Kårvikhamn,69.3928446,18.1818247
København,55.6867243,12.5700724
Køge,55.4565009,12.1818964
Køping,59.5137434,15.9970475
La Coruna,43.3709703,-8.3959425
Lafjorden,70.8632254,25.4072733
Lagos,6.4550575,3.3941795
Laksevåg,60.3648046,5.2218609
Landskrona,55.8698007,12.8296734
Lanesgrunnen - Tromsø,69.6489,18.95508
Langesund,59.000697,9.7484437
Langevåg,62.4405047,6.1908603
Langevåg - Sula,62.4405047,6.1908603
Langsundet,69.9351302,19.5319744
Langøya,68.8000809,15.2040085
Larsnes,62.2068371,5.5716078
Larvik,59.0967308,10.02193
Las Palmas,27.9580004,-15.6062305
Lauksundet,70.0928404,20.767593
Lavangen,68.7169832,17.8162748
Le Havre,49.4938975,0.1079732
Leines,67.7371387,14.8101052
Leirfjord,66.0962774,12.9772397
Leirpollen,68.2917957,16.4323886
Leirvik,59.7809398,5.5005712
Leirvik i Hyllestad,61.1362208,5.3456927
Leixoes,41.1864507,-8.6961588
Lekaflaket Ankring,,
Leknes,68.1474646,13.6115311
Lerwick,60.1531357,-1.1427296
Les Sables-d'olonne,46.4990505,-1.7767859
Lessremman,,
Levanger,63.6964518,11.2238804
Liavåg,62.3445181,6.0643871
Lidköping,58.5037196,13.1576427
Liepaya,56.51667,21.01667
Lillebukt,70.2636777,22.6204722
Lillesand,58.1161123,8.4403257
Lindholm Havn,62.00973,-6.77164
Lindø Havn,55.4733293,10.5468015
Litangen - Kragerø,58.8481694,9.2965278
Liverpool,53.4071991,-2.99168
Livorno,42.7902379,10.3402239
Londonderry,54.9978678,-7.3213056
Longyearbyen,78.2231558,15.6463656
Lovund,66.3637329,12.3383562
Lubeck,53.866444,10.684738
Lukksundet,60.0384888,5.7075691
Lurefjorden,60.6884772,5.1597975
Lyngdal,58.1516995,7.0523045
Lysefjorden,59.0120194,6.3586806
Lysekil,58.2771735,11.4430987
Lysøysund,63.8851521,9.8733154
Lærdal,61.0386134,7.8032867
Lødingen,68.3944357,15.6096557
Lødingen Ankring,,
Malmø,55.6052931,13.0001566
Malo,45.660296,11.407493
"Manchester Ship Canal, Salford",53.4437972,-2.4107786
Mandal,58.0268181,7.4534802
Manger,-5.8473447,143.5149059
Mangerfjorden,,
Marcus Hook,39.8194467,-75.4186608
Mariager,56.6488769,9.976727
Mauranger fjorden,,
Maurholen,58.8640463,5.718983
Maursundet,69.9380157,20.9474943
Mehamn,71.0389923,27.8517589
Mekjarvik,59.0200721,5.6204134
Melbu,36.6403282,5.3626372
Melkøya,70.6869236,23.5981352
Melsomvik,59.2246686,10.3362022
Mersrags,57.3321596,23.1310637
Mexico,23.6585116,-102.0077097
Middlesborough,36.6072968,-83.7143317
Midsund,62.67386,6.6745516
Misten,67.4561198,14.713392
Misvær,67.1188306,14.999309
Mjølkevikvarden,60.55322,4.97932
Mjølstadneset,62.3229355,5.6679562
Mo i Rana,66.3110969,14.1386991
Moerdijk,51.6627723,4.5255922
Mohammedia,33.6958383,-7.3893292
Molde,62.6016257,8.1386208
Mongstad,60.797934,5.011611
Mongstadbase,,
Monstad,63.9616394,10.194907
Montreal,45.5031824,-73.5698065
Montrose,38.4375391,-108.2403855
Mortavika,58.9576622,5.8632106
Mosjøen,65.8375342,13.1892098
Moss,59.4146674,10.6596578
Moss Nord,50.8413587,6.1100346
Mosterhamn,59.7009239,5.383042
Motril,36.7450888,-3.5207655
Motzen,52.2034151,13.5827633
Mukran,54.4986216,13.5888571
Murmansk,68.970665,33.07497
Muuga,59.1075012,26.6264789
Myre-Øksnes,68.9148944,15.0890843
Måløy,61.9336888,5.1129133
Mårnes,46.8563896,-0.0194526
Mårnesskagen Ankring,,
Mönsterås,57.066667,16.416667
Nador,35.1739922,-2.9281198
Nakskov,54.8304979,11.1493517
Namsos,64.4666372,11.3345047
Narvik,68.4383796,17.4271978
Narvik Reden,,
Nassau,25.0782266,-77.3383438
Nedstrandsfjorden,59.3034079,5.7812115
Neksø,55.06067,15.13058
Neskaupstadur,65.1487219,-13.6888688
Nesna,66.2236803,12.965786
Nesnaflaket Ankring,,
Neverdalsbukta Ankring,,
New Orleans,29.9759983,-90.0782127
New York,40.7127281,-74.0060152
Newcastle Upon Tyne,54.9738474,-1.6131572
Ningbo,29.8622194,121.6203873
Njord feltet,,
Nord-Atlanteren,40.0,-40.0
Norden,53.5942039,7.2067435
Nordenham,53.4973636,8.4820227
Norderney,53.7056126,7.1438175
Nordfjordeid,61.907681,5.9891381
Nordfold,67.762175,15.2269226
Nordlenangen,69.9208015,20.190289
Nordsjøen,56.00276,3.000129
Nordskaget - Frøya,63.706494,8.562265
Nordspissen - Tromsø,69.7147665,19.009819
Norne,29.858,98.6094
Norrköping,58.5909124,16.1903511
Northfleet,51.4459453,0.3239669
Ny-Ålesund,78.9255303,11.9291656
Nyborg,55.3098281,10.7976604
Nyhamna,62.8469509,6.9375256
Nykøbing Falster,54.7646137,11.8709918
Nynäshamn,58.9056457,17.9470987
Nørresundby,57.0607251,9.9241319
Odda,60.0679248,6.5469316
Odense,55.3997225,10.3852104
Offshore,33.5762077,-117.8266011
Offshoreinst Halten-Helgeland,,
Offshoreinst. Barentshavet,,
Offshoreinst. Nordsjøen,,
Olavsvern,69.5305506,19.0166128
Olderdalen,69.6030929,20.537129
Omastranda,60.2170104,5.9716822
Ombo,59.2613296,6.0131356
Ona,34.7838769,137.5417021
Orkanger,63.304819,9.8496676
Ormen Lange,59.3405773,9.9117075
Ortnevik,61.1082581,6.1312992
Os,43.3890851,-0.6150563
Oseberg Sør,60.3895918,2.794707
Oskarshamn,57.2632811,16.4443478
Oslo,59.9133301,10.7389701
Osnes - Vindafjord,59.57559,5.56295
Otterbäcken,58.9437903,14.0393895
Ottersbogen,63.70706,9.77974
Ottersøy,64.857639,11.287902
Oxelösund,58.666667,17.083056
Paldiski Lounasadam,59.3357617,24.0783546
Papenburg,53.0822606,7.3928398
Paradip Garh,20.31641,86.6085
Pasajes,43.3239952,-1.9200587
Pembroke,45.8260909,-77.113541
Pembroke Dock,51.693539,-4.9392016
Perth,-31.9558933,115.8605855
Peterhead,57.5052909,-1.7813194
Piombino,42.9231662,10.5268192
Pohjankuru (skuru),60.0982346,23.5517916
Point Tupper,45.6070064,-61.3664338
Police,48.9656205,15.6303894
Porsangvika Ankring,,
Porsgrunn,59.103735,9.7363538
Port Fourchon,29.1232363,-90.18924
Port Louis,-20.1624522,57.5028044
Port Said,31.263235,32.305505
Port Talbot,51.5952353,-3.7824148
Port-jérôme,49.505435,0.6005386
Porto Nogaro,45.8160297,13.2187352
Portsmouth,50.800031,-1.0906023
Porvoo,60.3953913,25.6604862
Pt Arthur,29.8716577,-93.9332302
Purfleet,-31.9433333,152.4675
Puttgarden,54.4964975,11.2121117
Puurs,51.0772325,4.2828146
Qatar,25.3336984,51.2295295
Qidong,31.7951489,121.6509342
Qingdao,36.0663249,120.3777659
Quebec,52.4760892,-71.8258668
Raahe (brahestad),64.6202501,24.252995
Radicatel,49.5069708,0.5041748
Rafnes,59.1027833,9.5788944
Ramberg,49.2606966,8.0083015
Ramsund,68.49194,16.5182034
Ramsvika,68.1163389,13.6542778
Randaberg,59.0210666,5.5648766
Randers,56.4617545,10.0371476
Raudsand,62.8292187,8.1206164
Raumo (rauma),61.1315252,21.4868835
Ravenna,44.3640607,12.0590095
Recheche Fjorden,,
Rekefjord,58.3393981,6.260425
Rekstafjorden,61.5464225,4.7859188
Rendsburg,54.3000225,9.6516356
Reydarfjørdur,65.0340671,-14.2084678
Reykjavik,64.145981,-21.9422367
Riga,56.9493977,24.1051846
Ringhorne Øst,,
Risavika,58.9266035,5.598135
Risør,58.6768312,9.3108313
Risøya,69.7153903,18.2309872
Risøyhamn,68.9719105,15.6383507
Rochefort,45.9366592,-0.9616399
Rognan,65.7600831,11.988559
Roquefort des Corbieres,42.9918294,2.9517259
Rosendal,55.2247469,12.1106929
Rostock,54.0886707,12.1400211
Rosyth,56.0388706,-3.4206538
Rothesay,55.8373085,-5.0522439
Rotsundet,69.8082423,20.7080267
Rotterdam,51.9244424,4.47775
Rouen,49.4404591,1.0939658
Rovde,62.1788232,5.7540104
Rubbestadneset,59.8155882,5.2680891
Runavik,62.1083979,-6.7216674
Runcorn,53.3421509,-2.7334941
Russian Federation,64.6863136,97.7453061
Rutletangen,61.08333,5.16667
Rypefjord,70.6412939,23.6718242
Rönnskär,59.9347719,24.3908031
Rødbyhavn,54.6649383,11.3619659
Rønne,55.0994511,14.7060906
Rønningen,59.8191154,10.4289333
Rørvik,64.8615745,11.2379128
Røst,67.3972862,12.0326911
Røsthavet,67.5644378,12.2887417
Røvær,59.4379416,5.0905332
Safi,32.299424,-9.239533
Salangsverket,68.9115584,17.7227939
Salinetas,27.9828809,-15.3781554
Salt End,8.7216796,78.1046697
Salten,56.0836884,9.5686653
Salthella,60.2319361,6.5667918
San Ciprian,43.693983,-7.4416367
Sand,48.3836463,7.6138847
Sandane,61.777068,6.2156466
Sandefjord,59.0799004,10.2804322
Sandeid,59.5438719,5.8652667
Sandgerdi,64.0388116,-22.7059293
Sandnes,58.983132,6.394641
Sandnessjøen,66.0215451,12.6317232
Sandstad,63.5247427,9.1040585
Sandverken lykt,,
Sandviksberget,60.3238835,15.4492787
Sandviksflaket ankring,,
Sandvikvåg,59.9675309,5.332769
Santander,43.4618932,-3.8100255
Sao Luis,-2.5295265,-44.2963942
Sarpsborg,59.254955,11.2297811
Sauda,59.704566,6.4620938
Scalloway,60.1371374,-1.275271
Scapa Flow,58.8950411,-3.075777
Schiedam,51.91718,4.4019149
Scrabster,58.6110189,-3.554907
Seaham,54.8372106,-1.3355612
Selbjørnsfjorden,59.9503689,5.1601406
Selje,62.044272,5.3474511
Seljestokken,61.6744446,4.9721058
Selva,41.8547193,2.6267018
Senjahopen,69.4958812,17.4859909
Setubal,38.5241783,-8.8932341
Seydisfjørdur,65.2598475,-14.0049009
Sfax,34.7394361,10.7604024
Sheerness,51.4398236,0.7620398
Shetland,60.333333,-1.333333
Shoreham,40.9573208,-72.9076025
Sigerfjord,68.6469528,15.5054378
Siholmen,63.7382073,8.8362087
Sillamae,59.396265,27.7625564
Singapore,1.357107,103.8194992
Sint Maarten (Nederlandsk del),18.04167,-63.06667
Sirevåg,58.5037462,5.801803
Sistranda,63.7301981,8.8297021
Sjøvegan,68.8726409,17.8521825
Skagen,57.7259703,10.5844602
Skaland,69.403174,17.507735
Skarholmen,59.2769204,17.9067517
Skattkärr,59.4133819,13.674373
Skei - Leka,65.0931753,11.7332198
Skien,59.2662883,9.5311354
Skipavik-Gulen,60.8526453,5.030247
Skjerkøya,59.0597653,9.6342757
